iter	RMSE
0	0.3870335129
1	0.3804517177
2	0.3736045642
3	0.3672755394
4	0.3606913825
5	0.3545435206
6	0.3485753665
7	0.3425107488
8	0.3369805167
9	0.3313085817
10	0.3256477508
11	0.3201216705
12	0.314735177
13	0.3098549771
14	0.304580675
15	0.299667083
16	0.2948533338
17	0.2900845327
18	0.2857023627
19	0.2814205244
20	0.2772463104
21	0.2729382865
22	0.268790443
23	0.2651098974
24	0.2613065711
25	0.2575482961
26	0.2538663027
27	0.2501148728
28	0.2467449955
29	0.2434945165
30	0.2401590381
31	0.2370034135
32	0.2337002881
33	0.2306375952
34	0.2276715781
35	0.2246914885
36	0.221814
37	0.2193693034
38	0.2166142228
39	0.2142341499
40	0.2119948078
41	0.2094923418
42	0.2072149638
43	0.2047893333
44	0.2025569166
45	0.2003785154
46	0.1982572518
47	0.1960503817
48	0.1939702136
49	0.1920504393
50	0.1901766333
51	0.1884509275
52	0.1865993219
53	0.1848607528
54	0.183105517
55	0.181413064
56	0.1795881884
57	0.1781644106
58	0.1765826338
59	0.1749263325
60	0.1734236299
61	0.1720630698
62	0.1705596553
63	0.1692029923
64	0.1678039576
65	0.1665634543
66	0.1653917408
67	0.1641238124
68	0.1630093872
69	0.161942218
70	0.1606604016
71	0.1595391297
72	0.1583864997
73	0.1572324098
74	0.1561911481
75	0.1551925177
76	0.1542144164
77	0.15322007
78	0.1522855633
79	0.151351531
80	0.1505087369
81	0.1495155034
82	0.1486924942
83	0.1479584069
84	0.1470460865
85	0.1462507212
86	0.1454113663
87	0.1446924724
88	0.1438875845
89	0.1432142151
90	0.1425099447
91	0.1418157368
92	0.1410680331
93	0.1403583324
94	0.1397648946
95	0.1390294147
96	0.1382935549
97	0.1376957861
98	0.1369490505
99	0.1362862148
100	0.1357719754
101	0.1352618477
102	0.1347580589
103	0.1342358154
104	0.1336620518
105	0.1330997095
106	0.1326263843
107	0.1321434316
108	0.1316563548
109	0.131177587
110	0.1307136476
111	0.1302491402
112	0.1298005219
113	0.1293437786
114	0.1289440053
115	0.128536241
116	0.1281532116
117	0.1277087258
118	0.1272904125
119	0.1269157218
120	0.1265544703
121	0.1260623954
122	0.1257179763
123	0.125311288
124	0.1249850067
125	0.1245477165
126	0.1241620687
127	0.1238860342
128	0.1236239761
129	0.1232082784
130	0.1229356138
131	0.122590478
132	0.1222791194
133	0.1219544853
134	0.1216661969
135	0.1213357094
136	0.1211051641
137	0.1208240651
138	0.1204765011
139	0.120240685
140	0.1200163941
141	0.1196371726
142	0.1193604316
143	0.1190574966
144	0.1187043948
145	0.1183933316
146	0.1180638619
147	0.1178102405
148	0.1175880073
149	0.1173440539
150	0.117126183
151	0.1168783169
152	0.1165983629
153	0.1163424181
154	0.116163247
155	0.1159343212
156	0.1158043736
157	0.1156150642
158	0.1153671643
159	0.1151682626
160	0.1149556842
161	0.1147444482
162	0.1144935774
163	0.1142780021
164	0.1140991996
165	0.1139304649
166	0.1137189117
167	0.1134374835
168	0.1132633396
169	0.1130937891
170	0.1129304081
171	0.1127230988
172	0.112566464
173	0.1124102544
174	0.112233891
175	0.1120738456
176	0.111855244
177	0.1116227443
178	0.1114411863
179	0.1113641874
180	0.111219721
181	0.1110478027
182	0.1109128682
183	0.1107980846
184	0.1106547565
185	0.110504753
186	0.1103183685
187	0.1102377623
188	0.1100408406
189	0.1098405158
190	0.1097064414
191	0.1095533717
192	0.1094215227
193	0.1092830243
194	0.1091089159
195	0.1089572821
196	0.108804341
197	0.1086241891
198	0.1084981532
199	0.1083095387
200	0.1082122353
201	0.1080825362
202	0.1079629766
203	0.1078579236
204	0.1076993437
205	0.1075531021
206	0.1073953655
207	0.1072660987
208	0.1071325818
209	0.1070164595
210	0.1068927805
