iter	Passed	Remaining
0	2	5858
1	5	5392
2	7	5234
3	10	5012
4	12	4863
5	15	5246
6	18	5255
7	20	5157
8	23	5091
9	25	5078
10	27	5022
11	30	5009
12	33	5044
13	35	4993
14	37	4950
15	39	4934
16	42	4925
17	44	4893
18	48	5018
19	50	4987
20	52	4957
21	54	4924
22	56	4895
23	59	4866
24	62	4921
25	65	4959
26	67	4934
27	69	4905
28	71	4882
29	74	4865
30	76	4853
31	79	4859
32	82	4899
33	84	4911
34	87	4906
35	89	4905
36	92	4923
37	95	4954
38	98	4956
39	100	4936
40	103	4934
41	105	4935
42	109	4960
43	111	4969
44	114	4981
45	117	4979
46	119	4977
47	122	4974
48	124	4974
49	127	4981
50	129	4966
51	132	4946
52	134	4928
53	136	4912
54	138	4905
55	141	4904
56	144	4917
57	146	4901
58	148	4886
59	150	4873
60	153	4863
61	155	4849
62	157	4837
63	160	4849
64	163	4866
65	165	4861
66	168	4871
67	171	4871
68	174	4875
69	178	4932
70	182	4969
71	187	5014
72	190	5037
73	195	5088
74	199	5108
75	202	5125
76	206	5145
77	212	5239
78	215	5246
79	218	5237
80	220	5228
81	223	5223
82	226	5237
83	229	5229
84	231	5214
85	233	5198
86	235	5184
87	238	5173
88	241	5180
89	244	5185
90	246	5173
91	248	5159
92	250	5144
93	253	5130
94	255	5115
95	258	5126
96	261	5122
97	263	5113
98	265	5104
99	268	5092
100	270	5080
101	273	5083
102	275	5077
103	278	5075
104	281	5074
105	284	5083
106	287	5084
107	291	5110
108	294	5113
109	297	5115
110	300	5119
111	304	5130
112	307	5139
113	310	5138
114	313	5136
115	316	5134
116	318	5129
117	322	5136
118	325	5141
119	327	5134
120	330	5126
121	332	5120
122	335	5118
123	338	5123
124	341	5118
125	343	5108
126	346	5103
127	348	5098
128	351	5102
129	355	5106
130	358	5119
131	361	5117
132	363	5108
133	366	5109
134	370	5118
135	373	5115
136	375	5109
137	378	5102
138	381	5104
139	384	5102
140	387	5108
141	390	5106
142	392	5099
143	395	5097
144	398	5092
145	400	5090
146	404	5095
147	407	5094
148	409	5089
149	411	5080
150	414	5077
151	417	5073
152	420	5074
153	423	5070
154	425	5065
155	427	5057
156	430	5050
157	432	5042
158	435	5042
159	438	5044
160	441	5045
161	444	5042
162	447	5038
163	449	5036
164	452	5030
165	454	5024
166	458	5030
167	461	5027
168	463	5022
169	466	5026
170	469	5024
171	472	5022
172	475	5017
173	477	5013
174	480	5014
175	484	5019
176	487	5025
177	490	5018
178	492	5013
179	494	4996
180	496	4991
181	500	4997
182	503	4998
183	506	4997
184	509	4995
185	512	4994
186	515	4995
187	518	4996
188	520	4989
189	522	4980
190	524	4970
191	526	4960
192	528	4950
193	531	4948
194	533	4939
195	535	4932
196	538	4927
197	540	4919
198	542	4910
199	544	4900
200	547	4896
201	549	4892
202	551	4883
203	553	4875
204	555	4868
205	558	4863
206	560	4855
207	563	4852
208	565	4849
209	567	4840
210	569	4832
211	571	4823
212	573	4815
213	576	4810
214	580	4816
215	582	4812
216	584	4806
217	587	4799
218	589	4792
219	591	4784
220	593	4780
221	596	4777
222	599	4775
223	601	4768
224	603	4762
225	606	4758
226	608	4753
227	611	4749
228	613	4744
229	616	4740
230	618	4736
231	620	4730
232	622	4723
233	624	4716
234	627	4713
235	629	4706
236	631	4698
237	633	4691
238	636	4686
239	638	4683
240	640	4678
241	643	4673
242	645	4670
243	648	4664
244	650	4656
245	652	4649
246	654	4642
247	656	4641
248	659	4639
249	661	4633
250	664	4626
251	666	4620
252	668	4612
253	670	4607
254	672	4600
255	674	4595
256	677	4595
257	680	4592
258	682	4588
259	684	4583
260	686	4576
261	688	4570
262	691	4564
263	693	4558
264	695	4551
265	697	4546
266	700	4544
267	702	4539
268	705	4536
269	707	4535
270	710	4530
271	712	4526
272	715	4523
273	717	4519
274	719	4515
275	721	4509
276	724	4506
277	727	4503
278	729	4498
279	731	4492
280	733	4487
